vendor_symbol,company_name,sector,industry,country,shares_outstanding,source
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,United States,197537710.0,yfinance
ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,United States,26000442.0,yfinance
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,United States,95922367.0,yfinance
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,United States,48815089.0,yfinance
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,United States,171235870.0,yfinance
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,61942146.0,yfinance
ACCL,Acco Group Holdings Limited,Industrials,Consulting Services,Hong Kong,13949900.0,yfinance
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,United States,,yfinance
ACCS,ACCESS Newswire Inc.,Communication Services,Advertising Agencies,United States,3882144.0,yfinance
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,United States,180920753.0,yfinance
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,81392900.0,yfinance
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,United States,9348236.0,yfinance
ACFN,"Acorn Energy, Inc.",Technology,Scientific & Technical Instruments,United States,2508258.0,yfinance
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,341000000.0,yfinance
ACH,"Accendra Health, Inc.",Healthcare,Medical Distribution,United States,,yfinance
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,United States,93100275.0,yfinance
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,762864879.0,yfinance
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,United States,102659057.0,yfinance
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,485325683.0,yfinance
ACIC,American Coastal Insurance Corporation,Financial Services,Insurance - Property & Casualty,United States,48464047.0,yfinance
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,101773573.0,yfinance
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,United States,101661570.0,yfinance
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,United States,30733897.0,yfinance
ACM,AECOM,Industrials,Engineering & Construction,United States,,yfinance
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,United States,64117679.0,yfinance
ACN,Accenture plc,Technology,Information Technology Services,Ireland,611942109.0,yfinance
ACNB,ACNB Corporation,Financial Services,Banks - Regional,United States,10169930.0,yfinance
ACNT,Ascent Industries Co.,Basic Materials,Chemicals,United States,9038215.0,yfinance
ACOG,Alpha Cognition Inc. Common Stock,Healthcare,Biotechnology,United States,21774104.0,yfinance
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,United States,2462250.0,yfinance
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,United States,7075542.0,yfinance
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,United States,55481113.0,yfinance
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,United States,139663680.0,yfinance
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,United States,42801729.0,yfinance
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,United States,139600745.0,yfinance
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,United States,96589132.0,yfinance
ACTU,"Actuate Therapeutics, Inc. Common stock",Healthcare,Biotechnology,United States,23925852.0,yfinance
ACU,Acme,Consumer Defensive,Household & Personal Products,United States,,yfinance
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,United States,174584894.0,yfinance
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,4297738.0,yfinance
AD,"Array Digital Infrastructure, Inc.",Communication Services,Telecom Services,United States,53437077.0,yfinance
