tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
KRX:005935,KRX,005935,,$5.2T-31B,1,N,Y
NYSE:XOM,NYSE,XOM,XOM,$5.2T-31B,1,Y,N
NYSE:ABBV,NYSE,ABBV,ABBV,$5.2T-31B,1,Y,N
HKEX:1398,HKEX,1398,1398.HK,$5.2T-31B,1,N,N
NYSE:CVX,NYSE,CVX,CVX,$5.2T-31B,1,Y,N
LSE:HSBA,LSE,HSBA,HSBA.L,$5.2T-31B,1,N,N
HKEX:3750,HKEX,3750,3750.HK,$5.2T-31B,1,N,N
NYSE:KO,NYSE,KO,KO,$5.2T-31B,1,Y,N
NYSE:HSBC,NYSE,HSBC,HSBC,$5.2T-31B,1,Y,N
SSE:601398,SSE,601398,601398.SS,$5.2T-31B,1,N,N
NYSE:PG,NYSE,PG,PG,$5.2T-31B,1,Y,N
SIX:ROP,SIX,ROP,ROP.SW,$5.2T-31B,1,N,N
NYSE:GS,NYSE,GS,GS,$5.2T-31B,1,Y,N
HKEX:857,HKEX,857,0857.HK,$5.2T-31B,1,N,N
NYSE:MRK,NYSE,MRK,MRK,$5.2T-31B,1,Y,N
TSX:RY,TSX,RY,RY.TO,$5.2T-31B,1,N,N
NYSE:PM,NYSE,PM,PM,$5.2T-31B,1,Y,N
SIX:NOVN,SIX,NOVN,NOVN.SW,$5.2T-31B,1,N,N
SSE:601288,SSE,601288,601288.SS,$5.2T-31B,1,N,N
NYSE:RY,NYSE,RY,RY,$5.2T-31B,1,Y,N
NYSE:NVS,NYSE,NVS,NVS,$5.2T-31B,1,Y,N
HKEX:3988,HKEX,3988,3988.HK,$5.2T-31B,1,N,N
SSE:601939,SSE,601939,601939.SS,$5.2T-31B,1,N,N
HKEX:9988,HKEX,9988,9988.HK,$5.2T-31B,1,N,N
SIX:NESN,SIX,NESN,NESN.SW,$5.2T-31B,1,N,N
EURONEXT:MC,EURONEXT,MC,,$5.2T-31B,1,N,Y
HKEX:939,HKEX,939,0939.HK,$5.2T-31B,1,N,N
LSE:AZN,LSE,AZN,AZN.L,$5.2T-31B,1,N,N
TSE:8306,TSE,8306,8306.T,$5.2T-31B,1,N,N
HKEX:1288,HKEX,1288,1288.HK,$5.2T-31B,1,N,N
SSE:601857,SSE,601857,601857.SS,$5.2T-31B,1,N,N
NYSE:MUFG,NYSE,MUFG,MUFG,$5.2T-31B,1,Y,N
EURONEXT:SHELL,EURONEXT,SHELL,,$5.2T-31B,1,N,Y
SSE:601988,SSE,601988,601988.SS,$5.2T-31B,1,N,N
NYSE:SHEL,NYSE,SHEL,SHEL,$5.2T-31B,1,Y,N
XETR:SIE,XETR,SIE,SIE.DE,$5.2T-31B,1,N,N
EURONEXT:OR,EURONEXT,OR,,$5.2T-31B,1,N,Y
OMXCOP:NOVO_B,OMXCOP,NOVO_B,NOVO_B.CO,$5.2T-31B,1,N,N
TSE:7203,TSE,7203,7203.T,$5.2T-31B,1,N,N
HKEX:941,HKEX,941,0941.HK,$5.2T-31B,1,N,N
NYSE:BHP,NYSE,BHP,BHP,$5.2T-31B,1,Y,N
NYSE:TM,NYSE,TM,TM,$5.2T-31B,1,Y,N
SZSE:300750,SZSE,300750,300750.SZ,$5.2T-31B,1,N,N
SSE:600519,SSE,600519,600519.SS,$5.2T-31B,1,N,N
NSE:RELIANCE,NSE,RELIANCE,RELIANCE.NS,$5.2T-31B,1,N,N
EURONEXT:RMS,EURONEXT,RMS,,$5.2T-31B,1,N,Y
TSX:TD,TSX,TD,TD.TO,$5.2T-31B,1,N,N
NYSE:TD,NYSE,TD,TD,$5.2T-31B,1,Y,N
NYSE:SAN,NYSE,SAN,SAN,$5.2T-31B,1,Y,N
SSE:600941,SSE,600941,600941.SS,$5.2T-31B,1,N,N
ASX:BHP,ASX,BHP,BHP.AX,$5.2T-31B,1,N,N
NASDAQ:AMGN,NASDAQ,AMGN,AMGN,$5.2T-31B,1,Y,N
NYSE:TMO,NYSE,TMO,TMO,$5.2T-31B,1,Y,N
EURONEXT:TTE,EURONEXT,TTE,,$5.2T-31B,1,N,Y
EURONEXT:AIR,EURONEXT,AIR,,$5.2T-31B,1,N,Y
XETR:ALV,XETR,ALV,ALV.DE,$5.2T-31B,1,N,N
ASX:CBA,ASX,CBA,CBA.AX,$5.2T-31B,1,N,N
NYSE:TTE,NYSE,TTE,TTE,$5.2T-31B,1,Y,N
NASDAQ:PEP,NASDAQ,PEP,PEP,$5.2T-31B,1,Y,N
SIX:ABBN,SIX,ABBN,ABBN.SW,$5.2T-31B,1,N,N
NYSE:ABT,NYSE,ABT,ABT,$5.2T-31B,1,Y,N
NYSE:SCHW,NYSE,SCHW,SCHW,$5.2T-31B,1,Y,N
NYSE:UNP,NYSE,UNP,UNP,$5.2T-31B,1,Y,N
ASX:RIO,ASX,RIO,RIO.AX,$5.2T-31B,1,N,N
NYSE:WELL,NYSE,WELL,WELL,$5.2T-31B,1,Y,N
NYSE:UBS,NYSE,UBS,UBS,$5.2T-31B,1,Y,N
TSE:8316,TSE,8316,8316.T,$5.2T-31B,1,N,N
NYSE:TJX,NYSE,TJX,TJX,$5.2T-31B,1,Y,N
HKEX:2628,HKEX,2628,2628.HK,$5.2T-31B,1,N,N
NYSE:DE,NYSE,DE,DE,$5.2T-31B,1,Y,N
EURONEXT:ABI,EURONEXT,ABI,,$5.2T-31B,1,N,Y
SIX:UBSG,SIX,UBSG,UBSG.SW,$5.2T-31B,1,N,N
NYSE:BLK,NYSE,BLK,BLK,$5.2T-31B,1,Y,N
NYSE:SCCO,NYSE,SCCO,SCCO,$5.2T-31B,1,Y,N
NYSE:BUD,NYSE,BUD,BUD,$5.2T-31B,1,Y,N
EURONEXT:SAF,EURONEXT,SAF,,$5.2T-31B,1,N,Y
NYSE:TBB,NYSE,TBB,TBB,$5.2T-31B,1,Y,N
HKEX:3968,HKEX,3968,3968.HK,$5.2T-31B,1,N,N
SSE:601138,SSE,601138,601138.SS,$5.2T-31B,1,N,N
LSE:RR,LSE,RR,RR.L,$5.2T-31B,1,N,N
TSE:9983,TSE,9983,9983.T,$5.2T-31B,1,N,N
XETR:DTE,XETR,DTE,DTE.DE,$5.2T-31B,1,N,N
NASDAQ:SHOP,NASDAQ,SHOP,SHOP,$5.2T-31B,1,Y,N
XETR:ENR,XETR,ENR,ENR.DE,$5.2T-31B,1,N,N
LSE:RIO,LSE,RIO,RIO.L,$5.2T-31B,1,N,N
SSE:601628,SSE,601628,601628.SS,$5.2T-31B,1,N,N
