tv_ticker,vendor_symbol,local_symbol,company_name,exchange,etf,us_listed,symbol_needs_manual_map,mcap_band
NYSE:A,A,A,"Agilent Technologies, Inc.",NYSE,N,Y,N,
NYSE:AA,AA,AA,Alcoa Corporation,NYSE,N,Y,N,
NYSE:AADX,AADX,AADX,"Applied Aerospace & Defense, Inc.",NYSE,N,Y,N,
NASDAQ:AAL,AAL,AAL,"American Airlines Group, Inc.",NASDAQ,N,Y,N,
NASDAQ:AAME,AAME,AAME,Atlantic American Corporation,NASDAQ,N,Y,N,
NYSE:AAMI,AAMI,AAMI,Acadian Asset Management Inc.,NYSE,N,Y,N,
NASDAQ:AAOI,AAOI,AAOI,"Applied Optoelectronics, Inc.",NASDAQ,N,Y,N,
NASDAQ:AAON,AAON,AAON,"AAON, Inc.",NASDAQ,N,Y,N,
NYSE:AAP,AAP,AAP,Advance Auto Parts Inc.,NYSE,N,Y,N,
NASDAQ:AAPG,AAPG,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,Y,N,
NASDAQ:AAPL,AAPL,AAPL,Apple Inc.,NASDAQ,N,Y,N,
NASDAQ:AARD,AARD,AARD,"Aardvark Therapeutics, Inc.",NASDAQ,N,Y,N,
NYSE:AAT,AAT,AAT,"American Assets Trust, Inc.",NYSE,N,Y,N,
NYSE:AAUC,AAUC,AAUC,Allied Gold Corporation,NYSE,N,Y,N,
NASDAQ:ABAT,ABAT,ABAT,American Battery Technology Company,NASDAQ,N,Y,N,
NYSE:ABBV,ABBV,ABBV,AbbVie Inc.,NYSE,N,Y,N,
NYSE:ABCB,ABCB,ABCB,Ameris Bancorp,NYSE,N,Y,N,
NASDAQ:ABCL,ABCL,ABCL,AbCellera Biologics Inc.,NASDAQ,N,Y,N,
NASDAQ:ABEO,ABEO,ABEO,Abeona Therapeutics Inc.,NASDAQ,N,Y,N,
NYSE:ABG,ABG,ABG,Asbury Automotive Group Inc,NYSE,N,Y,N,
NASDAQ:ABLV,ABLV,ABLV,Able View Global Inc.,NASDAQ,N,Y,N,
NYSE:ABM,ABM,ABM,ABM Industries Incorporated,NYSE,N,Y,N,
NASDAQ:ABNB,ABNB,ABNB,"Airbnb, Inc.",NASDAQ,N,Y,N,
NASDAQ:ABOS,ABOS,ABOS,"Acumen Pharmaceuticals, Inc.",NASDAQ,N,Y,N,
NYSE:ABR,ABR,ABR,Arbor Realty Trust,NYSE,N,Y,N,
NASDAQ:ABSI,ABSI,ABSI,Absci Corporation,NASDAQ,N,Y,N,
NYSE:ABT,ABT,ABT,Abbott Laboratories,NYSE,N,Y,N,
NASDAQ:ABTC,ABTC,ABTC,American Bitcoin Corp.,NASDAQ,N,Y,N,
NASDAQ:ABTS,ABTS,ABTS,Abits Group Inc,NASDAQ,N,Y,N,
NASDAQ:ABUS,ABUS,ABUS,Arbutus Biopharma Corporation,NASDAQ,N,Y,N,
NASDAQ:ABVC,ABVC,ABVC,"ABVC BioPharma, Inc.",NASDAQ,N,Y,N,
NYSE:ABX,ABX,ABX,"Abacus Global Management, Inc.",NYSE,N,Y,N,
NYSE:ACA,ACA,ACA,"Arcosa, Inc.",NYSE,N,Y,N,
NASDAQ:ACAD,ACAD,ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,N,Y,N,
NASDAQ:ACB,ACB,ACB,Aurora Cannabis Inc.,NASDAQ,N,Y,N,
NASDAQ:ACCL,ACCL,ACCL,Acco Group Holdings Limited,NASDAQ,N,Y,N,
NYSE:ACCO,ACCO,ACCO,Acco Brands Corporation,NYSE,N,Y,N,
AMEX:ACCS,ACCS,ACCS,ACCESS Newswire Inc.,AMEX,N,Y,N,
NASDAQ:ACDC,ACDC,ACDC,ProFrac Holding Corp.,NASDAQ,N,Y,N,
NYSE:ACEL,ACEL,ACEL,"Accel Entertainment, Inc.",NYSE,N,Y,N,
NASDAQ:ACET,ACET,ACET,"Adicet Bio, Inc.",NASDAQ,N,Y,N,
NASDAQ:ACFN,ACFN,ACFN,"Acorn Energy, Inc.",NASDAQ,N,Y,N,
NASDAQ:ACGL,ACGL,ACGL,Arch Capital Group Ltd.,NASDAQ,N,Y,N,
NYSE:ACH,ACH,ACH,"Accendra Health, Inc.",NYSE,N,Y,N,
NASDAQ:ACHC,ACHC,ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,N,Y,N,
