tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1153765823.0,119.72,37.39,1,93.6,93.2,94.1,True,-20.15,35.19,47.88,152.73,27593885,2026-08-07,NWPX,United States,NASDAQ,42.59,6.9,262,180.24,90.58,128.64,88.5588,80.9587,62.8179,52.3619,47.3706,1255,35.34,9637202.0
NASDAQ:ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,340159822.0,4.39,40.07,2,84.6,90.0,79.1,False,-26.71,16.31,36.22,72.08,12162051,2026-08-07,ALTO,United States,NASDAQ,42.58,10.6,402,377.17,91.67,85.17,3.7745,3.2227,2.2904,2.3708,2.5512,1255,41.73,77485153.0
NYSE:REX,REX American Resources Corporation,Basic Materials,Chemicals,1409734330.0,42.8,40.74,2,84.4,88.6,80.3,False,-16.34,7.82,13.36,75.39,7502595,2026-08-07,REX,United States,NYSE,42.94,12.1,458,66.28,43.52,56.58,39.6951,37.7551,29.8221,27.3342,24.4027,1255,42.79,32937718.0
NYSE:TDAY,"USA TODAY Co., Inc.",Communication Services,Publishing,1063590305.0,7.25,30.61,1,91.0,98.2,83.7,False,-19.71,9.91,19.32,87.99,16090849,2026-08-07,TDAY,United States,NYSE,36.89,2.1,79,107.74,39.19,63.86,6.5963,6.076,5.2088,4.4245,3.8567,1255,39.97,146702111.0
NASDAQ:ECHO,EchoStar Corporation,Communication Services,Telecom Services,14268190401.0,90.04,45.68,3,85.9,79.3,92.5,True,-36.5,-15.11,-7.0,132.82,501089473,2026-08-07,ECHO,United States,NASDAQ,43.3,22.1,835,232.5,48.49,97.27,106.0721,96.82,60.6351,45.6441,38.6731,1255,40.67,158465020.0
NASDAQ:APP,Applovin Corporation,Communication Services,Advertising Agencies,106027857600.0,346.8,32.2,1,85.2,97.1,73.4,True,-52.73,-32.67,-33.7,58.18,2943074833,2026-08-07,APP,United States,NASDAQ,35.77,3.1,118,3.32,-13.48,21.28,515.0962,523.0648,400.8503,285.947,219.2428,1255,28.91,305732000.0
AMEX:ELA,Envela Corporation,Consumer Cyclical,Luxury Goods,446052518.0,17.18,24.84,1,94.8,99.5,90.0,False,-40.51,1.93,15.25,114.28,2904174,2026-08-07,ELA,United States,AMEX,31.54,0.6,23,188.74,63.7,101.36,16.8542,14.9071,10.4947,8.5319,8.0176,1255,27.22,25963476.0
NYSE:RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,2561484896.0,24.88,30.52,1,94.8,98.3,91.3,False,-27.93,9.32,11.73,123.42,95215489,2026-08-07,RSI,United States,NYSE,36.45,2.0,77,56.58,43.36,83.31,22.7595,22.2675,17.3552,13.573,11.1361,1255,31.01,102953573.0
NYSE:SGHC,Super Group (SGHC) Limited,Consumer Cyclical,Gambling,6630402083.0,13.05,36.83,1,91.3,94.1,88.5,True,-16.29,10.1,9.17,107.18,37414322,2026-08-07,SGHC,Guernsey,NYSE,42.12,6.2,234,54.45,39.83,79.64,11.853,11.954,9.3325,7.2647,6.2988,1255,35.91,508076788.0
NASDAQ:LINC,Lincoln Educational Services Corporation,Consumer Defensive,Education & Training Services,1300232641.0,40.99,40.29,2,91.8,89.6,93.9,True,-26.38,16.23,26.9,151.3,29390836,2026-08-07,LINC,United States,NASDAQ,42.02,11.0,417,130.28,67.06,108.17,35.2651,32.3016,24.5368,19.6908,16.3114,1255,34.1,31720728.0
NASDAQ:COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,3602043524.0,62.25,34.5,1,90.0,95.7,84.2,False,-25.91,5.54,13.76,89.64,81562711,2026-08-07,COCO,United States,NASDAQ,38.79,4.6,175,92.31,41.63,63.91,58.9845,54.7199,43.9524,37.9791,32.825,1203,37.56,57864153.0
NASDAQ:PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,5463855774.0,177.05,37.09,1,88.6,93.7,83.4,False,-10.54,16.4,22.62,87.29,48695509,2026-08-07,PSMT,United States,NASDAQ,42.97,6.5,246,65.81,49.3,69.95,152.1109,144.3874,118.5867,104.1789,94.5321,1255,38.05,30860524.0
