sector,1,2,3,4,5,6,7,8,9,10
Basic Materials,12,18,21,21,25,31,19,26,24,10
Communication Services,12,21,12,13,16,14,12,19,16,19
Consumer Cyclical,64,50,45,37,33,30,33,25,16,18
Consumer Defensive,22,19,17,18,12,18,11,15,9,5
Energy,1,4,7,7,9,8,13,23,35,61
Financial Services,45,37,45,66,54,68,94,105,111,109
Healthcare,88,71,71,74,80,81,70,65,55,56
Industrials,48,71,76,60,54,46,32,29,37,51
Real Estate,50,36,24,20,16,10,16,3,4,8
Technology,32,35,45,54,69,70,74,60,70,40
Unknown,0,1,1,0,3,1,2,3,1,0
Utilities,6,17,16,10,9,3,4,7,2,3
