tv_ticker,company_name,sector,industry,market_cap,price,rsi14,rsi_decile,score,oversold_pctile,trend_pctile,hook_turning_up,pct_from_52w_high,prem_ma_200d,prem_ma_1y,prem_ma_4y,avg_dollar_vol_20d,asof,vendor_symbol,country,exchange,rsi21,rsi_pctile,rsi_rank,pct_from_52w_low,prem_ma_2y,prem_ma_3y,ma_200d,ma_1y,ma_2y,ma_3y,ma_4y,bars_available,rsi_fast_prev,shares_outstanding
NASDAQ:ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,3138184850.0,11.06,33.17,1,96.4,96.3,96.4,False,-52.78,-20.23,-8.19,162.74,91465193,2026-07-31,ALM,United States,NASDAQ,36.42,5.0,170,199.73,50.21,111.48,13.8642,12.046,7.3631,5.2298,4.2095,1255,35.21,283741849.0
NASDAQ:NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,1186146822.0,123.08,38.24,2,93.2,89.9,96.4,False,-17.91,41.83,55.14,162.36,29236715,2026-07-31,NWPX,United States,NASDAQ,44.39,13.1,444,203.6,98.63,137.78,86.7811,79.3348,61.9658,51.7613,46.9119,1255,42.53,9637202.0
NYSE:PRM,"Perimeter Solutions, SA",Basic Materials,Specialty Chemicals,4993319398.0,30.61,39.42,2,90.6,87.5,93.7,False,-18.98,8.13,14.59,131.13,53528830,2026-07-31,PRM,United States,NYSE,43.07,16.0,543,95.72,57.38,105.57,28.3079,26.7135,19.4499,14.89,13.2438,1185,63.11,163127063.0
NASDAQ:ECHO,EchoStar Corporation,Communication Services,Telecom Services,13325323532.0,84.09,32.35,1,94.6,97.0,92.1,False,-40.7,-20.45,-12.06,119.37,476254435,2026-07-31,ECHO,United States,NASDAQ,35.01,4.3,146,219.37,40.26,86.1,105.7058,95.6198,59.9541,45.1865,38.3324,1255,34.48,158465020.0
NASDAQ:APP,Applovin Corporation,Communication Services,Advertising Agencies,121039298800.0,395.9,35.97,1,88.4,93.0,83.7,False,-46.03,-23.91,-24.32,82.02,2710894574,2026-07-31,APP,United States,NASDAQ,39.27,9.0,305,7.9,-0.47,39.6,520.2818,523.0936,397.7679,283.6045,217.5044,1255,37.52,305732000.0
NYSE:TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,13629872628.0,181.81,40.8,3,74.4,83.8,65.0,False,-18.54,-7.03,-6.16,43.72,191698558,2026-07-31,TKO,United States,NYSE,42.6,20.1,682,18.65,8.46,28.27,195.5658,193.7477,167.627,141.7367,126.5034,1255,43.21,74967673.0
NYSE:RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,2770480649.0,26.91,32.65,1,95.8,96.7,94.9,True,-22.05,19.17,21.6,143.93,83005506,2026-07-31,RSI,United States,NYSE,39.55,4.6,154,69.35,56.51,100.48,22.5808,22.1307,17.1938,13.4226,11.0321,1255,31.79,102953573.0
NYSE:MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,10678841070.0,201.06,37.77,2,90.2,90.6,89.9,False,-34.48,-2.06,4.53,105.44,354815385,2026-07-31,MOD,United States,NYSE,39.88,12.2,414,68.0,34.65,63.12,205.2864,192.3488,149.3217,123.2607,97.8697,1255,34.52,53112708.0
AMEX:ELA,Envela Corporation,Consumer Cyclical,Luxury Goods,562888160.0,21.68,42.59,3,87.6,78.0,97.1,False,-24.93,30.98,48.27,172.61,2914242,2026-07-31,ELA,United States,AMEX,44.67,26.1,886,300.0,109.57,156.61,16.5526,14.6216,10.3449,8.4486,7.9528,1255,42.59,25963476.0
NASDAQ:LINC,Lincoln Educational Services Corporation,Consumer Defensive,Education & Training Services,1326560845.0,41.82,38.93,2,92.3,88.4,96.2,False,-24.89,20.3,30.98,159.12,27318890,2026-07-31,LINC,United States,NASDAQ,41.66,15.0,507,134.94,72.41,114.89,34.763,31.9283,24.2561,19.4609,16.1391,1255,39.38,31720728.0
NASDAQ:COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,3815562249.0,65.94,38.83,2,89.0,88.7,89.3,False,-21.52,12.9,21.83,102.47,85437177,2026-07-31,COCO,United States,NASDAQ,42.32,14.7,498,104.15,51.33,74.77,58.4039,54.1231,43.5735,37.7295,32.5677,1198,40.46,57864153.0
