vendor_symbol,reason
ADBT,only 9 bars (need 60)
ADIG,only 27 bars (need 60)
AESP,only 47 bars (need 60)
APMD,only 26 bars (need 60)
ATTO,only 23 bars (need 60)
BIOT,only 31 bars (need 60)
BLSM,only 21 bars (need 60)
BRVE,only 22 bars (need 60)
BSP,only 47 bars (need 60)
CAES,only 56 bars (need 60)
CCCT,only 26 bars (need 60)
CEPL,only 43 bars (need 60)
CGCF,only 15 bars (need 60)
CIGL,only 24 bars (need 60)
COPR,only 46 bars (need 60)
CSQR,only 37 bars (need 60)
CXII,only 56 bars (need 60)
DPC,only 51 bars (need 60)
FBDT,only 12 bars (need 60)
FCBM,only 55 bars (need 60)
FISN,only 55 bars (need 60)
FTRA,only 30 bars (need 60)
GCGR,only 54 bars (need 60)
GHXI,only 17 bars (need 60)
GIXI,only 3 bars (need 60)
GYGY,only 27 bars (need 60)
HONA,only 58 bars (need 60)
HOS,only 1 bars (need 60)
IDAC,only 45 bars (need 60)
IMC,only 28 bars (need 60)
IOND,only 29 bars (need 60)
IPVV,only 30 bars (need 60)
ITG,only 47 bars (need 60)
JMKE,only 27 bars (need 60)
JONE,only 1 bars (need 60)
KARD,only 55 bars (need 60)
LIME,only 47 bars (need 60)
LTGO,only 21 bars (need 60)
LTGR,only 30 bars (need 60)
LYNX,only 13 bars (need 60)
MBGL,only 50 bars (need 60)
MCAH,only 54 bars (need 60)
MFP,only 50 bars (need 60)
MTNE,only 54 bars (need 60)
NCO,only 26 bars (need 60)
NUR,only 20 bars (need 60)
OBX,only 30 bars (need 60)
OPI,only 55 bars (need 60)
PLCI,only 18 bars (need 60)
QMLS,only 37 bars (need 60)
QVCG,only 20 bars (need 60)
RACD,only 40 bars (need 60)
REF,only 27 bars (need 60)
SCTX,only 30 bars (need 60)
SECZ,only 46 bars (need 60)
SGLD,only 4 bars (need 60)
SHOT,only 36 bars (need 60)
SIND,only 50 bars (need 60)
SNSC,only 18 bars (need 60)
SPCX,only 59 bars (need 60)
STDN,only 37 bars (need 60)
SVA,no data returned
TP,only 21 bars (need 60)
TRBG,only 2 bars (need 60)
TREO,only 12 bars (need 60)
TVIV,only 40 bars (need 60)
USDE,only 50 bars (need 60)
VOGX,only 18 bars (need 60)
WLCO,only 20 bars (need 60)
XTND,only 1 bars (need 60)
YFOR,only 10 bars (need 60)
YICC,only 40 bars (need 60)
